0	Put vacation photos online a few yrs ago. PC crashed, and now I forget the name of the site.
0	Put vacation photos online a few yrs ago. PC crashed, and now I forget the name of the site.
0	A bad nite for the favorite teams: Astros and Spartans lose.  The nite out with T.W. was good.
0	My mom might have breast cancer won't find out anything for. Like a week I'm so worried!
0	HEROES just isn't doing it for me this season...
0	Up early
0	Wishing it wasn't 245 in the morning.  sleeping is awesome, work is not, and I need to scrub my apt!
0	yay no work todayyy   but working for the rest of the week  lol
0	Is at work, thinking how much graveyard shift sux
0	||T|| LOL better let aboy021 know if he's doing the deploy before his 9:30 bedtime. Hope you are feeling better. Being sick sux
0	||T|| Taylor 814ce --&gt; ||T|| sweet mother of ||T|| my livie is only 2900
0	ughhh twitter is bing sooo retarded
0	||T|| msu lost it in the first ten minutes. Maybe even the first five. Congrats!
0	just woke up...its cloudy in the virgin islands  only two more days here til i have to go back to seattle
0	it is way to cold this morning... i dont wanna get out of bed... but i have to
0	My &quot;stuff your face with nothing but fruit all morning&quot; diet has been severely thwarted by the fact that we're out of fruit.
0	Getting back into the grind.  Wish I was still boarding in tahoe
0	Go too the schoolll  i have sleeeppp
0	Wife just called with my 2yr old on the phone. Woke up and wanted daddy.
0	Getting ready for work...I'm super sleepy
0	My laptop's broken, so no tweets for a while.  But holidays! Woohoo!
0	I thought it was April....Spring time, but when I woke up, it was SNOWING!
0	Jus wolf up but still layin in bed lol and im missio her allot
0	i really need to stop surfing the web when i have stuff in the oven...    poor biscuits
0	Working again
0	tuesday! this week is going so slow
0	I hate watching trees getting cut down...it depresses me!!
0	Damnit, slept in.
0	||T|| unless you're at the epicenter
0	waiting for the bus. work till 9
0	Hates it when good days end bad
0	At the Wally till 3AM. Please come rescue me...
0	Hope I have a great weekend but for now I'm at home!!!
0	my friends are bailing on me  ||U|| ||U|| out all day looking for something new to wear for Birthday next week with absolutley no luck
0	Trying to catch up on my shows online but I am apprently already caught up! That sucks  What now?
0	Hahahahaha! So ||T|| won't try my adios motherfucker.. Sad times  it tastes sooo good!
0	going to sleep. long day. and i chipped a fuckin tooth!  night everyone have good dreams
0	Yes Cousie Star, may i propose the week after next? My school life will be officially over! Am I am not excited about it.
0	||T|| I was just going to put that as my update!
0	Waiting in the cold for a manager to come
0	working on saturday,
0	The zipper of my favorite pants is now broken  i have perma open crotch!
0	started Day II of Vegas with horrible dreams of his friends being beaten up quite severely.
0	Sitting in the sun. It feels good, but in a wk I'll have to sit in the shade
0	I'm grounded
0	It's June already!!
0	I am so tired, stayed up too late last night, Keltie and Mariah are still sleepiong, i want them to wake up niow though
0	i REALLY wanna go play in the rain but i will mess up my hair  Also, rice cakes are my new favorite.
4	noodlebox with amanda tonight
4	mel is playing on Facebook
4	Checking out for the weekend
0	Good news - went frolicking in the sun. Bad news - got the first sunburn of the season.
0	Is stoopid-I spilt a bit of bleach on my pink top so now it just has a small white patch
0	doubleheader at Les today-- only 2 more home series left in the season
4	||T|| yes that is a bit creepy, but all the info that everyone shares across social networks today is even more creepy to me
4	Takin the little ones to the pool for &quot;work&quot;... then doing just about everything with Crystal tonight  yay for girl wednesdays!
4	back in kY!!
4	||T|| it's also amusing how many people who DID complain about Bush's spending are suddenly supportive of Obama's!  ||T|| considering Obama's the one inciting all this class-warfare and hatred, lately... it's a bit funny...  ||T|| ||T|| have a sunburn mustache!  hahaha
0	I think my milk was bad.
0	Sometimes its hard to drop my son off. . .
0	||T|| Too much choice! But been searching for other UK drama (school?) students to follow with nothing but fail  Bizarre.
4	||T|| Nice to meet another INFJ. Look fwd 2 twitter w you
0	my water heater has exsploded!!
4	||T|| Can't wait to see you in 4 sleeps and 3 days!
0	Losing at Risk. As usual
4	T ||T|| Tools of the Road Warrior ||U|| Pretty Cool - Please Retweet
0	NOOO. Yet another warehouse sales?! Busy busy busy.
0	didn't like the sound of &quot;if and when&quot;.....
0	has one of those unhappy pains! i hate this pain!
4	Why I love freelancing: Remembered a movie I haven't watched. Logged in to Netflix. Watched it. Done. Back to work.
0	Visiting the invalid ||T|| in DC
4	it was very different to be in NSA with a different crowd.. It was fun tho
4	||T|| I like audio podcasts. I listen while driving and walking (exercise). And lets face it - some people don't belong on video.
0	is lonely and has a minor sunburn. How very... not sexy at all.
0	Lost our first baseball game today.  Not so happy
0	King Tut exhibition... pretty cool. Too bad the mummy cannot be there
0	Unable to sleep w/ terrible cough, cold, &amp; irritated throat. Anyone with natural remedies to suggest? Ricola cough drops not doing much.
0	burning flesh smells good in the morning...ouchies got the sun burn real bad!
0	has a sore throat    so much for karaoke!
4	so the other night i kissed a statue of a toad.. lets keep our fingers crossed for prince charming  or would he become a statue too?
4	Off to bed now  off to &quot;meet the parents&quot; tomorrow !!! Well scary ! And my nose is being gay !
0	the computer is maybe entirely totally completely &amp; utterly dead.
0	I'm off to bed, think I am getting a cold
4	Photoshoot in Mill Valley..if only I were the one shooting it!
4	||T|| omg! that suks... get better  so we can hang out wen u come hahaha!
4	is home.
4	With ISCW exam passed I'm enjoying some relax at least for this week
0	Cardinals lost...AGAIN!
0	My stomach hurts
0	||U|| ~ A semi serious blog I typed about my online status at the moment. Where's the 'old' me?
0	Back to work  Why is it that the weekends just seems to fly by?
0	No more microwave in my room. It blew my fuse twice when I tried to mic some pizza.
0	Prom is going to be wonderdul! It would be even more perfect if ||T|| were coming
0	Eating McDonalds breakfast &amp; then sleep.. I only get to sleep for about 3-4 hours.  Poop.
0	Day off work - Woo!    Spending it at mother in law's - Boo!
4	aaah, got them!!!  going to see the killers and the kooks ;)
4	In work early.  Happy birthday to me
4	||T|| ||U|| - Yayy you found it ! Haha  Love youu Miley ?
4	||T|| I can show u a pic of a 3rd bdrm turned shoe closet. Ikea billy bookcases full of heels!
0	i wish coachella was closer
0	gettin ready for skewlio damn i got finals 2day
4	||T|| You are my 100th follower. I hope you enjoy catching up with some of what's happening in Pembrokeshire.   ||T|| ||T|| Video: Gors Fawr & the Preseli Hills - source of the 'Stonehenge Bluestones' ||U|| ||T|| 8am and I'm not on the road yet. Maybe I'll get up early to ride tomorrow  hoping the rain hold off.
4	Friday nights are for watching movies and eating junk food with friends.  but I love mikayla's update, too.
4	||T|| - 3 yrs of trying open didnt work after 20yrs of monogomy. Maybe if that is the basis from the start, who knows.......
0	is so tired of working Sun!!!
0	||T|| A tire, hit her in the FACE! hahahahahah oh man, it was soo amazing. too bad you couldn't go  i seriously almost peed my pants!
4	last minute ||T|| drill -- trying to schedule another announcement podcast as we tweet
0	wish i had money to go to coachella! darn...i guess i have to keep wishing
0	about to leave for england
4	||T|| perhaps a nice cup of coffee  is the answer?
0	How do u know if a quy is interested in you ? like we talk everydayy but yet i have this feelinq that he dont like me like that
0	just awoke to the dreaded words &quot;today is the first day of hurricane season&quot;
0	Take a deep breath... Cough... Repeat.
4	Watching a movie and enjoying root beer floats with the hubbs.
4	Eating lunch yum yum
4	webdotwizards night at the rushworth community house - webdotwiz is here early
0	i just burne mi damb fingerr
4	oh dear god. i have an ashlee simpson song stuck in my head and it won't go away. this really puts the rest of my life in perspective.
0	knowing what i'm probably going to be waking up to in the morning, makes me want to sleep for the next 3275897592 years. Depressing night
4	eating taco bell. God is great!
0	I'll have to put twitter updates on 'sleep' I think. I woke up with 33 new texts. Most were twitpics which I cant view on my phone
4	Bought party decorations  Errands this weekend &amp; cleaning. Cousin is coming on Monday
0	||T|| LOL you ignored my Friday facebook status
0	||T|| I wish I were in Pittsburgh to go to the Tech Fest
4	not exausted... but relaxed
0	My mom's not feeling too good today  please keep her in your prayers today.
4	the silent house; music to my ears  just being tonight
0	... trying to understand why adult relationships have to be so complicated
4	Done tracking and hanging out for the evening.
4	Had an exceptional day...dont ya just luv it when everything goes smoothly... heaps done + luv when you follow the extra God promptings
0	i watched marly and me and noe im crying!!!
4	i did end up taking bowie for a walk  felt good afterwards
0	I can't wait for the NEW MOON movie...OMG...if its anything like the book...6 months to go..it still so long...
4	||T|| tell me about it. Happens to the best of us. I have ladies flocking me 25/8.
4	is studying on Job 22.. and discussing them with Lj! God is Awesome!
0	Air France 447 inbound from Brazil to Paris disappears... shit, I have controlled that flight LOTS of times...
4	||T|| yeah, I stopped breathing when Sayid pulled that stunt...too abd it didn't work..or have you caught up that much yet? oops
0	Still don't feel good, my throat hurts
4	making dinner for me, Tucker and Tiger. been out all day, hope to paint this evening
0	indecisivenesss.....y cant i decide or make up my mind about anythnggg
0	Watching Today Show- Air France disaster.
4	at work. I'm gonna go home.
0	is super worn out! but had an amazing time!!  i'm really sad it's over.
4	Played all the new tunes@ musk. Nice party
4	Good morning, world!! Hope everyone has an amazing day!
0	my picture won't upload. dev dev
4	What am I Doing? ...Im Loving My Stephanie 4ever&amp;Ever &lt;3
0	7am is too early to be working on a Sunday..
4	about to go mash up some guac for boardgame nite.
0	Tonight was fantasticcc... But I'm my ankle still hurts.
0	went go karting today,now im back is sore from the seats
0	Max still is dealing with the upset stomach thing.  Not sure we'll ever get out of the house....
4	||T|| got to love those got tubs!
0	Im worried about my 12 yr old daughter who has thown up only 1x per night the past 2 nights? Isn't that odd?
0	Is this week over yet??
4	||T|| if you don't like it, don't bother coming in on Monday!
4	Got my invite to the Bumptop Beta Trial - having fun bumping things around  Looks useful and messy, just the way I like it!
0	||T|| Hope you're feeling better!!  Good news. I have a new hairstyle for us! Show you tomorrow at lunch I'll bring some yummy soup
4	Just watched Star Trek with Alex. Amazing. I found out I can do the wierd sign thing with my fingers too!
0	i'm idiotically excited that i get to drive my car again today  its been over a month.....i felt like a part of me had died...
4	||T|| i definitely wish i could be out there! oooh a book? it's like christmas in june
0	stupid fatminniemousegirl broke my headphones  thats forty dollars of drinking money i needed, dangit
0	Today is the day I go to the doctor. I'm not going to lie, I'm pretty frigin scared.
0	gonna finally go to sleep--hello almost 4am!
4	||T|| you guys should look into a Cube or EDH! It's fun  Xion as in kingdomhearts? From your profile pic, there's some resemblance!
4	from my daughter's fb:&quot;bonfires, backyard camping, swimming, playing games in a tent. ain't nothin like it   I need to &quot;unplug&quot; them more.
0	wants photoshop back
0	worn out. finals week.
4	||T|| I'm going to see if you're the coolest person ever
4	I'm 20 years old. Doesn't feel any different. Still going to tons of shows &amp; causing trouble  with my girls. I guess that never gets old.
0	I've been in the car for 12 hours  No fucking joke we went to santa cruz for 30 mins then had to go. Hella ghey.
4	day 2 of ||T|| - good morning!
0	Weekend was so nice - but as usual a Monday follows  This will be a hotly debated week - all that behind-the-scenes-going-ons at FCW...
0	I am very sad
4	||T|| when Mesh syncs a delete, the deleted files are moved to the Recycle Bin. found this out the (almost) hard way.
4	back from budapest! a wunderful city with great places and good bars, but the language is soo difficult!  Jo napot!
0	I am stuck in the city y is the holland tunnel closed! I just wanna go bac to jersey
0	Dont want go  summer school but got up 4 it this morning
4	the weekend is here &amp; I intend on enjoying every last minute of it - thank you, Lord for days of fun &amp; rest! get out there &amp; get busy!
0	My phone is Broke and acting all wierd    Im heading out to see if i can get it replaced now.
4	||T|| ohh tell me if it's good! the previews i worked on for it looked hilarious
4	zomfg!! JUST 19 MORE DAYS!! AND THE COUNTDOWN BEGINS!
4	||T|| nothing too dramatic. Sounds like jd was interesting. Would love to know the big case but know u can't say  enjoy the weekend!
4	loves the weather
4	I'm on top of the world!! Or on top of Vegas in the Stratosphere
4	i have just been woken up grrr was having a nice dream too
0	||T|| Your site is dead slow...
0	Jury Duty today... can't wait
4	||T||  I sent my UDID to Keith earlier today and he sent a confirming email, but I haven't gotten the beta yet.  Anxiously waiting
4	||T|| yeah, i read a few diff sites and still couldn't get it, but travis helped me figure it out when he got home from work
0	||T|| have fun presenting at ||T|| sorry that I'm missing it this year
0	goodmorning twitters...im at dmv and the line is round the building and they dont open until 9
0	first official day with my ||T|| all gone! it'll be a sad monday indeed  k
4	Just cant take my eyes of David Archuleta n Kris Allen...
4	My boyfriend the television star! Just saw the episode of Urban Legends he starred in!
4	watching the game... Go Nuggets, gotta do it!!!... J.R Smith what a guy!
0	Just woke up I am sooo tired and I have lots of work to do before tomorow
4	||T|| - sounds like a fun place to be for the day.  Maybe the office could requisition helmets for all of you!
0	||T|| I'd really like to get one but budget is kinda tight. My mom has wii fit at her place but lives hours away
0	At the gym by myself  learned how to tape my foot for running on webmd.com last night
0	sitting alone on bebo. sadly no-one has commented me.
4	Getting ready for another day !!  Live, Laugh and Love   finally got over the weekend fiasco....
0	First trip to the gym in over a week...and it hurts...ouch...why can't getting skinny and fit be easier
4	Putting James on the bus and taking sharon to daycare then headed to walmart for their easter stuff
4	at the boating course.
0	yes. school does suck. sup america. im bored
0	Just got up, and am now on my way to work. Today is going to be long.
0	aha, i am alive again and its back to doing yet more work
4	||T|| I've never even been to Michigan before. It's very pretty up here
4	Watching how batteries are made. I just love those shows that show you how ordinary things are created
0	||T|| i didnt end up eating mexican  i have curry instead. booo!
0	chilling in Cabo. Weather's beautiful, plane is idling
4	Gotta seize the day! And a Starbucks!!  Then to get me movtivated I need my dose of coaching ||T|| the best!
4	||T|| what to do abhi bol bol ke hi khush hone ka
0	Time for homework.... sigh  there's just so much!!  :-S
4	Brianna, Raquel, Colleen and I
0	Up and at em...I didn't eat clean yesterday and definitely feel it today
0	||T|| welcome to my world in Seoul.. 20 million people, 1 poker room with 4 tables and no pockets on the pool tables
4	||T|| Its so nice to see someone doing something about hunger in AMERICA... instead of other countries.    Thanks!!
4	high for the day: bryan and i kicked some boot-ay today with tons of clients! AND the race 4 the cure is tomorrow  NO LOW
0	Very Sad Day  GM having to declare B-ruptcy. A once large &amp; proud co.  Hopefully they get it worked out and back on track
4	in love with THAT chopstick man
4	Getting my first lesson in japanese tonight
0	god got so much work to do today and 3 hour rehearsal later.. got alot to do before tomorrow..!
4	About to watch Up in 3D...feel like such a dork in the glasses
4	at work, not doing any work and counting down to playtime
4	Watching the dumbest movie ever... and really enjoying it  hahaha this movie is total crap. but good. yaknow
4	||T|| i saw you in your meeting with Ian and figured I shouldn't interrupt. Love you dude!
0	||T|| yes, its quiet nice to use. just wish they had more backgrounds
4	||T|| OH MY GOODNESS! that would be wonderful
